Place_ID X Date,target
0OS9LVX X 2020-01-02,166.03856783908086
0OS9LVX X 2020-01-03,167.03766121096527
0OS9LVX X 2020-01-04,158.64295303285215
0OS9LVX X 2020-01-05,166.3238617270252
0OS9LVX X 2020-01-06,165.53125481440676
0OS9LVX X 2020-01-07,168.00909418292827
0OS9LVX X 2020-01-08,162.5853462932031
0OS9LVX X 2020-01-09,170.52939225234388
0OS9LVX X 2020-01-10,178.28295964406848
0OS9LVX X 2020-01-11,175.7712534680285
0OS9LVX X 2020-01-12,168.6266635963205
0OS9LVX X 2020-01-13,163.8701481099133
0OS9LVX X 2020-01-14,165.1732123754874
0OS9LVX X 2020-01-15,169.73071137379884
0OS9LVX X 2020-01-16,179.8653705630681
0OS9LVX X 2020-01-17,167.70519113616587
0OS9LVX X 2020-01-18,154.79345645388707
0OS9LVX X 2020-01-19,162.17163111831312
0OS9LVX X 2020-01-20,173.11580448420384
0OS9LVX X 2020-01-21,159.74779699102652
0OS9LVX X 2020-01-22,151.9268524551357
0OS9LVX X 2020-01-23,163.73799791621576
0OS9LVX X 2020-01-24,154.105905342069
0OS9LVX X 2020-01-25,172.1398409803664
0OS9LVX X 2020-01-26,170.5867058947333
0OS9LVX X 2020-01-27,149.2154741949637
0OS9LVX X 2020-01-28,164.15401553340936
0OS9LVX X 2020-01-29,155.7577884741287
0OS9LVX X 2020-01-30,151.6316296680438
0OS9LVX X 2020-01-31,169.82372471163077
0OS9LVX X 2020-02-01,169.83985361310442
0OS9LVX X 2020-02-02,157.33497278357012
0OS9LVX X 2020-02-03,150.3219607261289
0OS9LVX X 2020-02-04,140.59296413945071
0OS9LVX X 2020-02-05,158.2971208238227
0OS9LVX X 2020-02-06,161.67705640747704
0OS9LVX X 2020-02-07,154.69361576418618
0OS9LVX X 2020-02-08,159.95791443145026
0OS9LVX X 2020-02-09,161.26007479318324
0OS9LVX X 2020-02-10,164.5779628909454
0OS9LVX X 2020-02-11,174.5556700641175
0OS9LVX X 2020-02-12,158.65540569535452
0OS9LVX X 2020-02-13,158.2831988082056
0OS9LVX X 2020-02-14,158.14735744331773
0OS9LVX X 2020-02-15,163.83130433170865
0OS9LVX X 2020-02-16,172.46874034995528
0OS9LVX X 2020-02-17,162.5409074629593
0OS9LVX X 2020-02-18,171.6209923666516
0OS9LVX X 2020-02-19,161.9926740593753
0OS9LVX X 2020-02-20,166.5887134988101
0OS9LVX X 2020-02-21,162.1888343345782
0OS9LVX X 2020-02-22,163.4113795485626
0OS9LVX X 2020-02-23,172.3227897833749
0OS9LVX X 2020-02-24,153.0133916624655
0OS9LVX X 2020-02-25,148.8292282137579
0OS9LVX X 2020-02-26,154.38905103260362
0OS9LVX X 2020-02-27,173.6994920889919
0OS9LVX X 2020-02-28,171.38606670116047
0OS9LVX X 2020-02-29,153.57828193229525
0OS9LVX X 2020-03-01,162.2931533364686
0OS9LVX X 2020-03-02,147.16346771144458
0OS9LVX X 2020-03-03,163.18266374832578
0OS9LVX X 2020-03-04,151.78506235705234
0OS9LVX X 2020-03-05,151.45960267823182
0OS9LVX X 2020-03-06,159.00941595076876
0OS9LVX X 2020-03-07,158.2646161854474
0OS9LVX X 2020-03-08,159.55178008481656
0OS9LVX X 2020-03-09,168.4992407262927
0OS9LVX X 2020-03-10,170.24912498330156
0OS9LVX X 2020-03-11,169.0525348976917
0OS9LVX X 2020-03-12,157.315634590933
0OS9LVX X 2020-03-13,175.08774034174255
0OS9LVX X 2020-03-14,169.65057045203645
0OS9LVX X 2020-03-15,175.700330226424
0OS9LVX X 2020-03-16,167.69902913151512
0OS9LVX X 2020-03-17,165.89319723162387
0OS9LVX X 2020-03-18,162.83236800832827
0OS9LVX X 2020-03-19,172.94699735576074
0OS9LVX X 2020-03-20,165.22562275483693
0OS9LVX X 2020-03-21,156.7157418215385
0OS9LVX X 2020-03-22,156.49603867050803
0OS9LVX X 2020-03-23,158.43553759250833
0OS9LVX X 2020-03-24,165.50345653884864
0OS9LVX X 2020-03-25,166.75368709503874
0OS9LVX X 2020-03-26,152.7824199113781
0OS9LVX X 2020-03-27,157.7711948306619
0OS9LVX X 2020-03-28,166.57201961997137
0OS9LVX X 2020-03-29,166.74910551272365
0OS9LVX X 2020-03-30,177.42193502475192
0OS9LVX X 2020-03-31,173.29593266804358
0OS9LVX X 2020-04-01,155.05743158383086
0OS9LVX X 2020-04-02,167.77299138735629
0OS9LVX X 2020-04-03,149.80205543597347
0OS9LVX X 2020-04-04,153.94711835182625
0Q2LTOG X 2020-01-02,152.93132889067726
0Q2LTOG X 2020-01-03,155.6244487504743
0Q2LTOG X 2020-01-04,157.62900587867472
0Q2LTOG X 2020-01-05,146.29165285536726
0Q2LTOG X 2020-01-06,157.9853613770419
0Q2LTOG X 2020-01-07,173.1572679483894
0Q2LTOG X 2020-01-08,163.28028726407146
0Q2LTOG X 2020-01-09,149.6696160806592
0Q2LTOG X 2020-01-10,159.08330269917334
0Q2LTOG X 2020-01-11,151.35026988247773
0Q2LTOG X 2020-01-12,165.38350014306872
0Q2LTOG X 2020-01-13,156.4279218113397
0Q2LTOG X 2020-01-14,158.46753812048541
0Q2LTOG X 2020-01-15,155.5161892059105
0Q2LTOG X 2020-01-16,155.94943668318126
0Q2LTOG X 2020-01-17,164.09342863016522
0Q2LTOG X 2020-01-18,167.15804595837682
0Q2LTOG X 2020-01-19,136.39426498176454
0Q2LTOG X 2020-01-20,167.80214459134362
0Q2LTOG X 2020-01-21,143.83511858063184
0Q2LTOG X 2020-01-22,162.37358003076304
0Q2LTOG X 2020-01-23,148.99044695637244
0Q2LTOG X 2020-01-24,175.6612477738638
0Q2LTOG X 2020-01-25,176.0813212815517
0Q2LTOG X 2020-01-26,154.13316089756503
0Q2LTOG X 2020-01-27,171.13178912490346
0Q2LTOG X 2020-01-28,178.60715849601405
0Q2LTOG X 2020-01-29,184.29582732195598
0Q2LTOG X 2020-01-30,189.95166199453539
0Q2LTOG X 2020-01-31,137.81261562080547
0Q2LTOG X 2020-02-01,155.01252680229737
0Q2LTOG X 2020-02-02,166.46984914299247
0Q2LTOG X 2020-02-03,130.68693888116644
0Q2LTOG X 2020-02-04,160.636174830258
0Q2LTOG X 2020-02-05,158.64601697137687
0Q2LTOG X 2020-02-06,162.4385326286565
0Q2LTOG X 2020-02-07,184.23456478367495
0Q2LTOG X 2020-02-08,157.16889570075665
0Q2LTOG X 2020-02-09,159.98486627980463
0Q2LTOG X 2020-02-10,154.5464329015487
0Q2LTOG X 2020-02-11,156.80891969315093
0Q2LTOG X 2020-02-12,174.35930791133796
0Q2LTOG X 2020-02-13,166.00213321347096
0Q2LTOG X 2020-02-14,164.0614700261233
0Q2LTOG X 2020-02-15,176.55647318220235
0Q2LTOG X 2020-02-16,162.55232740358906
0Q2LTOG X 2020-02-17,170.82311676966904
0Q2LTOG X 2020-02-18,158.22743858657844
0Q2LTOG X 2020-02-19,154.7112431091876
0Q2LTOG X 2020-02-20,173.53132551001192
0Q2LTOG X 2020-02-21,181.03327451172095
0Q2LTOG X 2020-02-22,147.82265342863514
0Q2LTOG X 2020-02-23,160.30015587722258
0Q2LTOG X 2020-02-24,163.42035622260602
0Q2LTOG X 2020-02-25,171.56220839582573
0Q2LTOG X 2020-02-26,150.33756830811322
0Q2LTOG X 2020-02-27,162.60630746484068
0Q2LTOG X 2020-02-28,168.21369914972465
0Q2LTOG X 2020-02-29,161.26314017572815
0Q2LTOG X 2020-03-01,143.65167961178798
0Q2LTOG X 2020-03-02,154.07114863200974
0Q2LTOG X 2020-03-03,164.50234420766972
0Q2LTOG X 2020-03-04,137.81903859915224
0Q2LTOG X 2020-03-05,154.9832604671154
0Q2LTOG X 2020-03-06,167.9029292857809
0Q2LTOG X 2020-03-07,161.0285063506954
0Q2LTOG X 2020-03-08,156.33931129461962
0Q2LTOG X 2020-03-09,175.7612751193212
0Q2LTOG X 2020-03-10,185.2136641252681
0Q2LTOG X 2020-03-11,144.02629236049046
0Q2LTOG X 2020-03-12,151.75674168377506
0Q2LTOG X 2020-03-13,159.41948330119948
0Q2LTOG X 2020-03-14,167.3015755300213
0Q2LTOG X 2020-03-15,205.47666567139242
0Q2LTOG X 2020-03-16,160.71802103821307
0Q2LTOG X 2020-03-17,190.37081767479853
0Q2LTOG X 2020-03-18,147.16234446794692
0Q2LTOG X 2020-03-19,127.16630388905337
0Q2LTOG X 2020-03-20,157.81302028228197
0Q2LTOG X 2020-03-21,196.96560287322697
0Q2LTOG X 2020-03-22,147.2411163650935
0Q2LTOG X 2020-03-23,151.37742049444944
0Q2LTOG X 2020-03-24,153.9510099415854
0Q2LTOG X 2020-03-25,167.09739804179094
0Q2LTOG X 2020-03-26,190.90114767658469
0Q2LTOG X 2020-03-27,140.394252983848
0Q2LTOG X 2020-03-28,148.70202604762486
0Q2LTOG X 2020-03-29,159.94530121363897
0Q2LTOG X 2020-03-30,149.4746433443089
0Q2LTOG X 2020-03-31,156.5692493319661
0Q2LTOG X 2020-04-01,159.92771430003324
0Q2LTOG X 2020-04-02,144.6673770727906
0Q2LTOG X 2020-04-03,153.55839237326614
0Q2LTOG X 2020-04-04,154.72616873539127
15WCXN1 X 2020-01-02,164.82239015783085
15WCXN1 X 2020-01-03,159.0014666961277
15WCXN1 X 2020-01-04,157.16028495777184
15WCXN1 X 2020-01-05,181.62385669759271
15WCXN1 X 2020-01-06,195.0718850480975
15WCXN1 X 2020-01-07,166.79229924226374
15WCXN1 X 2020-01-08,197.67716178499614
15WCXN1 X 2020-01-09,156.69327742097656
15WCXN1 X 2020-01-10,168.59995036986243
15WCXN1 X 2020-01-11,197.1856442088815
15WCXN1 X 2020-01-12,163.47978344991702
15WCXN1 X 2020-01-13,163.61336015496306
15WCXN1 X 2020-01-14,171.69886859396942
15WCXN1 X 2020-01-15,169.14292513618255
15WCXN1 X 2020-01-16,192.68155654260292
15WCXN1 X 2020-01-17,185.30233508720977
15WCXN1 X 2020-01-18,161.3707029735322
15WCXN1 X 2020-01-19,171.5640657896766
15WCXN1 X 2020-01-20,159.5071144739872
15WCXN1 X 2020-01-21,196.0481193808297
15WCXN1 X 2020-01-22,191.47638556177984
15WCXN1 X 2020-01-23,152.7370399511862
15WCXN1 X 2020-01-24,147.32796407036744
15WCXN1 X 2020-01-25,188.4582256476648
15WCXN1 X 2020-01-26,175.67502856322523
15WCXN1 X 2020-01-27,186.53066522910538
15WCXN1 X 2020-01-28,177.67523971078742
15WCXN1 X 2020-01-29,162.26732424138697
15WCXN1 X 2020-01-30,173.21385385964777
15WCXN1 X 2020-01-31,177.2938254571328
15WCXN1 X 2020-02-01,157.67311239418586
15WCXN1 X 2020-02-02,178.5222419086515
15WCXN1 X 2020-02-03,196.63287776982474
15WCXN1 X 2020-02-04,178.27263413869963
15WCXN1 X 2020-02-05,198.39135759973348
15WCXN1 X 2020-02-06,156.95534585264284
15WCXN1 X 2020-02-07,161.70419898282563
15WCXN1 X 2020-02-08,193.12552692900113
15WCXN1 X 2020-02-09,150.6085948335492
15WCXN1 X 2020-02-10,158.8509564644327
15WCXN1 X 2020-02-11,154.02650813548087
15WCXN1 X 2020-02-12,160.0744053069526
15WCXN1 X 2020-02-13,158.19889500577986
15WCXN1 X 2020-02-14,167.11854584988242
15WCXN1 X 2020-02-15,162.41864190884547
15WCXN1 X 2020-02-16,181.9568208449503
15WCXN1 X 2020-02-17,190.7964062170052
15WCXN1 X 2020-02-18,176.36943195417655
15WCXN1 X 2020-02-19,201.42090392275853
15WCXN1 X 2020-02-20,184.65340411245165
15WCXN1 X 2020-02-21,157.83772368306376
15WCXN1 X 2020-02-22,191.8092859596599
15WCXN1 X 2020-02-23,174.09473885276321
15WCXN1 X 2020-02-24,140.69941466633855
15WCXN1 X 2020-02-25,173.5902645214611
15WCXN1 X 2020-02-26,155.12728318666956
